Mental Health Disorder Group,ICD10_Code,Description
Suicide or Self-Injury,T63412A,"Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63412S,"Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm, sequela"
Suicide or Self-Injury,T63422A,"Toxic effect of venom of ants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63422S,"Toxic effect of venom of ants, intentional self-harm, sequela"
Suicide or Self-Injury,T63432A,"Toxic effect of venom of caterpillars, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63432S,"Toxic effect of venom of caterpillars, intentional self-harm, sequela"
Suicide or Self-Injury,T63442A,"Toxic effect of venom of bees, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63442S,"Toxic effect of venom of bees, intentional self-harm, sequela"
Suicide or Self-Injury,T63452A,"Toxic effect of venom of hornets, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63452S,"Toxic effect of venom of hornets, intentional self-harm, sequela"
Suicide or Self-Injury,T63462A,"Toxic effect of venom of wasps, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63462S,"Toxic effect of venom of wasps, intentional self-harm, sequela"
Suicide or Self-Injury,T63482A,"Toxic effect of venom of other arthropod, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63482S,"Toxic effect of venom of other arthropod, intentional self-harm, sequela"
Suicide or Self-Injury,T63512A,"Toxic effect of contact with stingray, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63512S,"Toxic effect of contact with stingray, intentional self-harm, sequela"
Suicide or Self-Injury,T63592A,"Toxic effect of contact with other venomous fish, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63592S,"Toxic effect of contact with other venomous fish, intentional self-harm, sequela"
Suicide or Self-Injury,T63612A,"Toxic effect of contact with Portugese Man-o-war, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63612S,"Toxic effect of contact with Portugese Man-o-war, intentional self-harm, sequela"
Suicide or Self-Injury,T63622A,"Toxic effect of contact with other jellyfish, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63622S,"Toxic effect of contact with other jellyfish, intentional self-harm, sequela"
Suicide or Self-Injury,T63632A,"Toxic effect of contact with sea anemone, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63632S,"Toxic effect of contact with sea anemone, intentional self-harm, sequela"
Suicide or Self-Injury,T63692A,"Toxic effect of contact with other venomous marine animals, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63692S,"Toxic effect of contact with other venomous marine animals, intentional self-harm, sequela"
Suicide or Self-Injury,T63712A,"Toxic effect of contact with venomous marine plant, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63712S,"Toxic effect of contact with venomous marine plant, intentional self-harm, sequela"
Suicide or Self-Injury,T63792A,"Toxic effect of contact with other venomous plant, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63792S,"Toxic effect of contact with other venomous plant, intentional self-harm, sequela"
Suicide or Self-Injury,T63812A,"Toxic effect of contact with venomous frog, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63812S,"Toxic effect of contact with venomous frog, intentional self-harm, sequela"
Suicide or Self-Injury,T63822A,"Toxic effect of contact with venomous toad, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63822S,"Toxic effect of contact with venomous toad, intentional self-harm, sequela"
Suicide or Self-Injury,T63832A,"Toxic effect of contact with other venomous amphibian, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63832S,"Toxic effect of contact with other venomous amphibian, intentional self-harm, sequela"
Suicide or Self-Injury,T63892A,"Toxic effect of contact with other venomous animals, intentional self-harm, initial encounter"
Suicide or Self-Injury,T63892S,"Toxic effect of contact with other venomous animals, intentional self-harm, sequela"
Suicide or Self-Injury,T6392XA,"Toxic effect of contact with unspecified venomous animal, intentional self-harm, initial encounter"
Suicide or Self-Injury,T6392XS,"Toxic effect of contact with unspecified venomous animal, intentional self-harm, sequela"
Suicide or Self-Injury,T6402XA,"Toxic effect of aflatoxin, intentional self-harm, initial encounter"
Suicide or Self-Injury,T6402XS,"Toxic effect of aflatoxin, intentional self-harm, sequela"
Suicide or Self-Injury,T6482XA,"Toxic effect of other mycotoxin food contaminants, intentional self-harm, initial encounter"
Suicide or Self-Injury,T6482XS,"Toxic effect of other mycotoxin food contaminants, intentional self-harm, sequela"
Suicide or Self-Injury,T650X2A,"Toxic effect of cyanides, intentional self-harm, initial encounter"
Suicide or Self-Injury,T650X2S,"Toxic effect of cyanides, intentional self-harm, sequela"
Suicide or Self-Injury,T651X2A,"Toxic effect of strychnine and its salts, intentional self-harm, initial encounter"
Suicide or Self-Injury,T651X2S,"Toxic effect of strychnine and its salts, intentional self-harm, sequela"
Suicide or Self-Injury,T65212A,"Toxic effect of chewing tobacco, intentional self-harm, initial encounter"
Suicide or Self-Injury,T65212S,"Toxic effect of chewing tobacco, intentional self-harm, sequela"
Suicide or Self-Injury,T65222A,"Toxic effect of tobacco cigarettes, intentional self-harm, initial encounter"
Suicide or Self-Injury,T65222S,"Toxic effect of tobacco cigarettes, intentional self-harm, sequela"
Suicide or Self-Injury,T65292A,"Toxic effect of other tobacco and nicotine, intentional self-harm, initial encounter"
Suicide or Self-Injury,T65292S,"Toxic effect of other tobacco and nicotine, intentional self-harm, sequela"
Suicide or Self-Injury,T653X2A,"Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, intentional self-harm, initial encounter"
Suicide or Self-Injury,T653X2S,"Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, intentional self-harm, sequela"
Suicide or Self-Injury,T654X2A,"Toxic effect of carbon disulfide, intentional self-harm, initial encounter"
Suicide or Self-Injury,T654X2S,"Toxic effect of carbon disulfide, intentional self-harm, sequela"
Suicide or Self-Injury,T655X2A,"Toxic effect of nitroglycerin and other nitric acids and esters, intentional self-harm, initial encounter"
Suicide or Self-Injury,T655X2S,"Toxic effect of nitroglycerin and other nitric acids and esters, intentional self-harm, sequela"
Suicide or Self-Injury,T656X2A,"Toxic effect of paints and dyes, not elsewhere classified, intentional self-harm, initial encounter"
Suicide or Self-Injury,T656X2S,"Toxic effect of paints and dyes, not elsewhere classified, intentional self-harm, sequela"
Suicide or Self-Injury,T65812A,"Toxic effect of latex, intentional self-harm, initial encounter"
Suicide or Self-Injury,T65812S,"Toxic effect of latex, intentional self-harm, sequela"
Suicide or Self-Injury,T65822A,"Toxic effect of harmful algae and algae toxins, intentional self-harm, initial encounter"
Suicide or Self-Injury,T65822S,"Toxic effect of harmful algae and algae toxins, intentional self-harm, sequela"
Suicide or Self-Injury,T65832A,"Toxic effect of fiberglass, intentional self-harm, initial encounter"
Suicide or Self-Injury,T65832S,"Toxic effect of fiberglass, intentional self-harm, sequela"
Suicide or Self-Injury,T65892A,"Toxic effect of other specified substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,T65892S,"Toxic effect of other specified substances, intentional self-harm, sequela"
Suicide or Self-Injury,T6592XA,"Toxic effect of unspecified substance, intentional self-harm, initial encounter"
Suicide or Self-Injury,T6592XS,"Toxic effect of unspecified substance, intentional self-harm, sequela"
Suicide or Self-Injury,T71112A,"Asphyxiation due to smothering under pillow, intentional self-harm, initial encounter"
Suicide or Self-Injury,T71112S,"Asphyxiation due to smothering under pillow, intentional self-harm, sequela"
Suicide or Self-Injury,T71122A,"Asphyxiation due to plastic bag, intentional self-harm, initial encounter"
Suicide or Self-Injury,T71122S,"Asphyxiation due to plastic bag, intentional self-harm, sequela"
Suicide or Self-Injury,T71132A,"Asphyxiation due to being trapped in bed linens, intentional self-harm, initial encounter"
Suicide or Self-Injury,T71132S,"Asphyxiation due to being trapped in bed linens, intentional self-harm, sequela"
Suicide or Self-Injury,T71152A,"Asphyxiation due to smothering in furniture, intentional self-harm, initial encounter"
Suicide or Self-Injury,T71152S,"Asphyxiation due to smothering in furniture, intentional self-harm, sequela"
Suicide or Self-Injury,T71162A,"Asphyxiation due to hanging, intentional self-harm, initial encounter"
Suicide or Self-Injury,T71162S,"Asphyxiation due to hanging, intentional self-harm, sequela"
Suicide or Self-Injury,T71192A,"Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm, initial encounter"
Suicide or Self-Injury,T71192S,"Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm, sequela"
Suicide or Self-Injury,T71222A,"Asphyxiation due to being trapped in a car trunk, intentional self-harm, initial encounter"
Suicide or Self-Injury,T71222S,"Asphyxiation due to being trapped in a car trunk, intentional self-harm, sequela"
Suicide or Self-Injury,T71232A,"Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, initial encounter"
Suicide or Self-Injury,T71232S,"Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, sequela"
Suicide or Self-Injury,X710XXA,"Intentional self-harm by drowning and submersion while in bathtub, initial encounter"
Suicide or Self-Injury,X710XXD,"Intentional self-harm by drowning and submersion while in bathtub, subsequent encounter"
Suicide or Self-Injury,X710XXS,"Intentional self-harm by drowning and submersion while in bathtub, sequela"
Suicide or Self-Injury,X711XXA,"Intentional self-harm by drowning and submersion while in swimming pool, initial encounter"
Suicide or Self-Injury,X711XXD,"Intentional self-harm by drowning and submersion while in swimming pool, subsequent encounter"
Suicide or Self-Injury,X711XXS,"Intentional self-harm by drowning and submersion while in swimming pool, sequela"
Suicide or Self-Injury,X712XXA,"Intentional self-harm by drowning and submersion after jump into swimming pool, initial encounter"
Suicide or Self-Injury,X712XXD,"Intentional self-harm by drowning and submersion after jump into swimming pool, subsequent encounter"
Suicide or Self-Injury,X712XXS,"Intentional self-harm by drowning and submersion after jump into swimming pool, sequela"
Suicide or Self-Injury,X713XXA,"Intentional self-harm by drowning and submersion in natural water, initial encounter"
Suicide or Self-Injury,X713XXD,"Intentional self-harm by drowning and submersion in natural water, subsequent encounter"
Suicide or Self-Injury,X713XXS,"Intentional self-harm by drowning and submersion in natural water, sequela"
Suicide or Self-Injury,X718XXA,"Other intentional self-harm by drowning and submersion, initial encounter"
Suicide or Self-Injury,X718XXD,"Other intentional self-harm by drowning and submersion, subsequent encounter"
Suicide or Self-Injury,X718XXS,"Other intentional self-harm by drowning and submersion, sequela"
Suicide or Self-Injury,X719XXA,"Intentional self-harm by drowning and submersion, unspecified, initial encounter"
Suicide or Self-Injury,X719XXD,"Intentional self-harm by drowning and submersion, unspecified, subsequent encounter"
Suicide or Self-Injury,X719XXS,"Intentional self-harm by drowning and submersion, unspecified, sequela"
Suicide or Self-Injury,X72XXXA,"Intentional self-harm by handgun discharge, initial encounter"
Suicide or Self-Injury,X72XXXD,"Intentional self-harm by handgun discharge, subsequent encounter"
Suicide or Self-Injury,X72XXXS,"Intentional self-harm by handgun discharge, sequela"
Suicide or Self-Injury,X730XXA,"Intentional self-harm by shotgun discharge, initial encounter"
Suicide or Self-Injury,X730XXD,"Intentional self-harm by shotgun discharge, subsequent encounter"
Suicide or Self-Injury,X730XXS,"Intentional self-harm by shotgun discharge, sequela"
Suicide or Self-Injury,X731XXA,"Intentional self-harm by hunting rifle discharge, initial encounter"
Suicide or Self-Injury,X731XXD,"Intentional self-harm by hunting rifle discharge, subsequent encounter"
Suicide or Self-Injury,X731XXS,"Intentional self-harm by hunting rifle discharge, sequela"
Suicide or Self-Injury,X732XXA,"Intentional self-harm by machine gun discharge, initial encounter"
Suicide or Self-Injury,X732XXD,"Intentional self-harm by machine gun discharge, subsequent encounter"
Suicide or Self-Injury,X732XXS,"Intentional self-harm by machine gun discharge, sequela"
Suicide or Self-Injury,X738XXA,"Intentional self-harm by other larger firearm discharge, initial encounter"
Suicide or Self-Injury,X738XXD,"Intentional self-harm by other larger firearm discharge, subsequent encounter"
Suicide or Self-Injury,X738XXS,"Intentional self-harm by other larger firearm discharge, sequela"
Suicide or Self-Injury,X739XXA,"Intentional self-harm by unspecified larger firearm discharge, initial encounter"
Suicide or Self-Injury,X739XXD,"Intentional self-harm by unspecified larger firearm discharge, subsequent encounter"
Suicide or Self-Injury,X739XXS,"Intentional self-harm by unspecified larger firearm discharge, sequela"
Suicide or Self-Injury,X7401XA,"Intentional self-harm by airgun, initial encounter"
Suicide or Self-Injury,X7401XD,"Intentional self-harm by airgun, subsequent encounter"
Suicide or Self-Injury,X7401XS,"Intentional self-harm by airgun, sequela"
Suicide or Self-Injury,X7402XA,"Intentional self-harm by paintball gun, initial encounter"
Suicide or Self-Injury,X7402XD,"Intentional self-harm by paintball gun, subsequent encounter"
Suicide or Self-Injury,X7402XS,"Intentional self-harm by paintball gun, sequela"
Suicide or Self-Injury,X7409XA,"Intentional self-harm by other gas, air or spring-operated gun, initial encounter"
Suicide or Self-Injury,X7409XD,"Intentional self-harm by other gas, air or spring-operated gun, subsequent encounter"
Suicide or Self-Injury,X7409XS,"Intentional self-harm by other gas, air or spring-operated gun, sequela"
Suicide or Self-Injury,X748XXA,"Intentional self-harm by other firearm discharge, initial encounter"
Suicide or Self-Injury,X748XXD,"Intentional self-harm by other firearm discharge, subsequent encounter"
Suicide or Self-Injury,X748XXS,"Intentional self-harm by other firearm discharge, sequela"
Suicide or Self-Injury,X749XXA,"Intentional self-harm by unspecified firearm discharge, initial encounter"
Suicide or Self-Injury,X749XXD,"Intentional self-harm by unspecified firearm discharge, subsequent encounter"
Suicide or Self-Injury,X749XXS,"Intentional self-harm by unspecified firearm discharge, sequela"
Suicide or Self-Injury,X75XXXA,"Intentional self-harm by explosive material, initial encounter"
Suicide or Self-Injury,X75XXXD,"Intentional self-harm by explosive material, subsequent encounter"
Suicide or Self-Injury,X75XXXS,"Intentional self-harm by explosive material, sequela"
Suicide or Self-Injury,X76XXXA,"Intentional self-harm by smoke, fire and flames, initial encounter"
Suicide or Self-Injury,X76XXXD,"Intentional self-harm by smoke, fire and flames, subsequent encounter"
Suicide or Self-Injury,X76XXXS,"Intentional self-harm by smoke, fire and flames, sequela"
Suicide or Self-Injury,X770XXA,"Intentional self-harm by steam or hot vapors, initial encounter"
Suicide or Self-Injury,X770XXD,"Intentional self-harm by steam or hot vapors, subsequent encounter"
Suicide or Self-Injury,X770XXS,"Intentional self-harm by steam or hot vapors, sequela"
Suicide or Self-Injury,X771XXA,"Intentional self-harm by hot tap water, initial encounter"
Suicide or Self-Injury,X771XXD,"Intentional self-harm by hot tap water, subsequent encounter"
Suicide or Self-Injury,X771XXS,"Intentional self-harm by hot tap water, sequela"
Suicide or Self-Injury,X772XXA,"Intentional self-harm by other hot fluids, initial encounter"
Suicide or Self-Injury,X772XXD,"Intentional self-harm by other hot fluids, subsequent encounter"
Suicide or Self-Injury,X772XXS,"Intentional self-harm by other hot fluids, sequela"
Suicide or Self-Injury,X773XXA,"Intentional self-harm by hot household appliances, initial encounter"
Suicide or Self-Injury,X773XXD,"Intentional self-harm by hot household appliances, subsequent encounter"
Suicide or Self-Injury,X773XXS,"Intentional self-harm by hot household appliances, sequela"
Suicide or Self-Injury,X778XXA,"Intentional self-harm by other hot objects, initial encounter"
Suicide or Self-Injury,X778XXD,"Intentional self-harm by other hot objects, subsequent encounter"
Suicide or Self-Injury,X778XXS,"Intentional self-harm by other hot objects, sequela"
Suicide or Self-Injury,X779XXA,"Intentional self-harm by unspecified hot objects, initial encounter"
Suicide or Self-Injury,X779XXD,"Intentional self-harm by unspecified hot objects, subsequent encounter"
Suicide or Self-Injury,X779XXS,"Intentional self-harm by unspecified hot objects, sequela"
Suicide or Self-Injury,X780XXA,"Intentional self-harm by sharp glass, initial encounter"
Suicide or Self-Injury,X780XXD,"Intentional self-harm by sharp glass, subsequent encounter"
Suicide or Self-Injury,X780XXS,"Intentional self-harm by sharp glass, sequela"
Suicide or Self-Injury,X781XXA,"Intentional self-harm by knife, initial encounter"
Suicide or Self-Injury,X781XXD,"Intentional self-harm by knife, subsequent encounter"
Suicide or Self-Injury,X781XXS,"Intentional self-harm by knife, sequela"
Suicide or Self-Injury,X782XXA,"Intentional self-harm by sword or dagger, initial encounter"
Suicide or Self-Injury,X782XXD,"Intentional self-harm by sword or dagger, subsequent encounter"
Suicide or Self-Injury,X782XXS,"Intentional self-harm by sword or dagger, sequela"
Suicide or Self-Injury,X788XXA,"Intentional self-harm by other sharp object, initial encounter"
Suicide or Self-Injury,X788XXD,"Intentional self-harm by other sharp object, subsequent encounter"
Suicide or Self-Injury,X788XXS,"Intentional self-harm by other sharp object, sequela"
Suicide or Self-Injury,X789XXA,"Intentional self-harm by unspecified sharp object, initial encounter"
Suicide or Self-Injury,X789XXD,"Intentional self-harm by unspecified sharp object, subsequent encounter"
Suicide or Self-Injury,X789XXS,"Intentional self-harm by unspecified sharp object, sequela"
Suicide or Self-Injury,X79XXXA,"Intentional self-harm by blunt object, initial encounter"
Suicide or Self-Injury,X79XXXD,"Intentional self-harm by blunt object, subsequent encounter"
Suicide or Self-Injury,X79XXXS,"Intentional self-harm by blunt object, sequela"
Suicide or Self-Injury,X80XXXA,"Intentional self-harm by jumping from a high place, initial encounter"
Suicide or Self-Injury,X80XXXD,"Intentional self-harm by jumping from a high place, subsequent encounter"
Suicide or Self-Injury,X80XXXS,"Intentional self-harm by jumping from a high place, sequela"
Suicide or Self-Injury,X810XXA,"Intentional self-harm by jumping or lying in front of motor vehicle, initial encounter"
Suicide or Self-Injury,X810XXD,"Intentional self-harm by jumping or lying in front of motor vehicle, subsequent encounter"
Suicide or Self-Injury,X810XXS,"Intentional self-harm by jumping or lying in front of motor vehicle, sequela"
Suicide or Self-Injury,X811XXA,"Intentional self-harm by jumping or lying in front of (subway) train, initial encounter"
Suicide or Self-Injury,X811XXD,"Intentional self-harm by jumping or lying in front of (subway) train, subsequent encounter"
Suicide or Self-Injury,X811XXS,"Intentional self-harm by jumping or lying in front of (subway) train, sequela"
Suicide or Self-Injury,X818XXA,"Intentional self-harm by jumping or lying in front of other moving object, initial encounter"
Suicide or Self-Injury,X818XXD,"Intentional self-harm by jumping or lying in front of other moving object, subsequent encounter"
Suicide or Self-Injury,X818XXS,"Intentional self-harm by jumping or lying in front of other moving object, sequela"
Suicide or Self-Injury,X820XXA,"Intentional collision of motor vehicle with other motor vehicle, initial encounter"
Suicide or Self-Injury,X820XXD,"Intentional collision of motor vehicle with other motor vehicle, subsequent encounter"
Suicide or Self-Injury,X820XXS,"Intentional collision of motor vehicle with other motor vehicle, sequela"
Suicide or Self-Injury,X821XXA,"Intentional collision of motor vehicle with train, initial encounter"
Suicide or Self-Injury,X821XXD,"Intentional collision of motor vehicle with train, subsequent encounter"
Suicide or Self-Injury,X821XXS,"Intentional collision of motor vehicle with train, sequela"
Suicide or Self-Injury,X822XXA,"Intentional collision of motor vehicle with tree, initial encounter"
Suicide or Self-Injury,X822XXD,"Intentional collision of motor vehicle with tree, subsequent encounter"
Suicide or Self-Injury,X822XXS,"Intentional collision of motor vehicle with tree, sequela"
Suicide or Self-Injury,X828XXA,"Other intentional self-harm by crashing of motor vehicle, initial encounter"
Suicide or Self-Injury,X828XXD,"Other intentional self-harm by crashing of motor vehicle, subsequent encounter"
Suicide or Self-Injury,X828XXS,"Other intentional self-harm by crashing of motor vehicle, sequela"
Suicide or Self-Injury,X830XXA,"Intentional self-harm by crashing of aircraft, initial encounter"
Suicide or Self-Injury,X830XXD,"Intentional self-harm by crashing of aircraft, subsequent encounter"
Suicide or Self-Injury,X830XXS,"Intentional self-harm by crashing of aircraft, sequela"
Suicide or Self-Injury,X831XXA,"Intentional self-harm by electrocution, initial encounter"
Suicide or Self-Injury,X831XXD,"Intentional self-harm by electrocution, subsequent encounter"
Suicide or Self-Injury,X831XXS,"Intentional self-harm by electrocution, sequela"
Suicide or Self-Injury,X832XXA,"Intentional self-harm by exposure to extremes of cold, initial encounter"
Suicide or Self-Injury,X832XXD,"Intentional self-harm by exposure to extremes of cold, subsequent encounter"
Suicide or Self-Injury,X832XXS,"Intentional self-harm by exposure to extremes of cold, sequela"
Suicide or Self-Injury,X838XXA,"Intentional self-harm by other specified means, initial encounter"
Suicide or Self-Injury,X838XXD,"Intentional self-harm by other specified means, subsequent encounter"
Suicide or Self-Injury,X838XXS,"Intentional self-harm by other specified means, sequela"
Trauma and Stressor-Related Disorders,F430,Acute stress reaction
Trauma and Stressor-Related Disorders,F4310,"Post-traumatic stress disorder, unspecified"
Trauma and Stressor-Related Disorders,F4311,"Post-traumatic stress disorder, acute"
Trauma and Stressor-Related Disorders,F4312,"Post-traumatic stress disorder, chronic"
Trauma and Stressor-Related Disorders,F4320,"Adjustment disorder, unspecified"
Trauma and Stressor-Related Disorders,F4321,Adjustment disorder with depressed mood
Trauma and Stressor-Related Disorders,F4322,Adjustment disorder with anxiety
Trauma and Stressor-Related Disorders,F4323,Adjustment disorder with mixed anxiety and depressed mood
Trauma and Stressor-Related Disorders,F4324,Adjustment disorder with disturbance of conduct
Trauma and Stressor-Related Disorders,F4325,Adjustment disorder with mixed disturbance of emotions and conduct
Trauma and Stressor-Related Disorders,F4329,Adjustment disorder with other symptoms
Trauma and Stressor-Related Disorders,F438,Other reactions to severe stress
Trauma and Stressor-Related Disorders,F439,"Reaction to severe stress, unspecified"
Trauma and Stressor-Related Disorders,F941,Reactive attachment disorder of childhood
Trauma and Stressor-Related Disorders,F942,Disinhibited attachment disorder of childhood
