Mental_Health_Disorder_Group,ICD10_Code,Description
Suicide or Self-Injury,ICD10:T53.1X2S,"Toxic effect of chloroform, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T53.2X2A,"Toxic effect of trichloroethylene, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T53.2X2S,"Toxic effect of trichloroethylene, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T53.3X2A,"Toxic effect of tetrachloroethylene, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T53.3X2S,"Toxic effect of tetrachloroethylene, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T53.4X2A,"Toxic effect of dichloromethane, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T53.4X2S,"Toxic effect of dichloromethane, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T53.5X2A,"Toxic effect of chlorofluorocarbons, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T53.5X2S,"Toxic effect of chlorofluorocarbons, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T53.6X2A,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T53.6X2S,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T53.7X2A,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T53.7X2S,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T53.92XA,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T53.92XS,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T54.0X2A,"Toxic effect of phenol and phenol homologues, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T54.0X2S,"Toxic effect of phenol and phenol homologues, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T54.1X2A,"Toxic effect of other corrosive organic compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T54.1X2S,"Toxic effect of other corrosive organic compounds, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T54.2X2A,"Toxic effect of corrosive acids and acid-like substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T54.2X2S,"Toxic effect of corrosive acids and acid-like substances, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T54.3X2A,"Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T54.3X2S,"Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T54.92XA,"Toxic effect of unspecified corrosive substance, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T54.92XS,"Toxic effect of unspecified corrosive substance, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T55.0X2A,"Toxic effect of soaps, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T55.0X2S,"Toxic effect of soaps, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T55.1X2A,"Toxic effect of detergents, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T55.1X2S,"Toxic effect of detergents, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T56.0X2A,"Toxic effect of lead and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T56.0X2S,"Toxic effect of lead and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T56.1X2A,"Toxic effect of mercury and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T56.1X2S,"Toxic effect of mercury and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T56.2X2A,"Toxic effect of chromium and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T56.2X2S,"Toxic effect of chromium and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T56.3X2A,"Toxic effect of cadmium and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T56.3X2S,"Toxic effect of cadmium and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T56.4X2A,"Toxic effect of copper and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T56.4X2S,"Toxic effect of copper and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T56.5X2A,"Toxic effect of zinc and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T56.5X2S,"Toxic effect of zinc and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T56.6X2A,"Toxic effect of tin and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T56.6X2S,"Toxic effect of tin and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T56.7X2A,"Toxic effect of beryllium and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T56.7X2S,"Toxic effect of beryllium and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T56.812A,"Toxic effect of thallium, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T56.812S,"Toxic effect of thallium, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T56.892A,"Toxic effect of other metals, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T56.892S,"Toxic effect of other metals, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T56.92XA,"Toxic effect of unspecified metal, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T56.92XS,"Toxic effect of unspecified metal, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T57.0X2A,"Toxic effect of arsenic and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T57.0X2S,"Toxic effect of arsenic and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T57.1X2A,"Toxic effect of phosphorus and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T57.1X2S,"Toxic effect of phosphorus and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T57.2X2A,"Toxic effect of manganese and its compounds, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T57.2X2S,"Toxic effect of manganese and its compounds, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T57.3X2A,"Toxic effect of hydrogen cyanide, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T57.3X2S,"Toxic effect of hydrogen cyanide, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T57.8X2A,"Toxic effect of other specified inorganic substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T57.8X2S,"Toxic effect of other specified inorganic substances, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T57.92XA,"Toxic effect of unspecified inorganic substance, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T57.92XS,"Toxic effect of unspecified inorganic substance, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T58.02XA,"Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T58.02XS,"Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T58.12XA,"Toxic effect of carbon monoxide from utility gas, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T58.2X2A,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T58.2X2S,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T58.8X2A,"Toxic effect of carbon monoxide from other source, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T58.8X2S,"Toxic effect of carbon monoxide from other source, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T58.92XA,"Toxic effect of carbon monoxide from unspecified source, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T58.92XS,"Toxic effect of carbon monoxide from unspecified source, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T59.0X2A,"Toxic effect of nitrogen oxides, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T59.0X2S,"Toxic effect of nitrogen oxides, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T59.1X2A,"Toxic effect of sulfur dioxide, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T59.1X2S,"Toxic effect of sulfur dioxide, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T59.2X2A,"Toxic effect of formaldehyde, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T59.2X2S,"Toxic effect of formaldehyde, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T59.3X2A,"Toxic effect of lacrimogenic gas, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T59.3X2S,"Toxic effect of lacrimogenic gas, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T59.4X2A,"Toxic effect of chlorine gas, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T59.4X2S,"Toxic effect of chlorine gas, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T59.5X2A,"Toxic effect of fluorine gas and hydrogen fluoride, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T59.5X2S,"Toxic effect of fluorine gas and hydrogen fluoride, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T59.6X2A,"Toxic effect of hydrogen sulfide, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T59.6X2S,"Toxic effect of hydrogen sulfide, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T59.7X2A,"Toxic effect of carbon dioxide, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T59.7X2S,"Toxic effect of carbon dioxide, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T59.812A,"Toxic effect of smoke, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T59.812S,"Toxic effect of smoke, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T59.892A,"Toxic effect of other specified gases, fumes and vapors, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T59.892S,"Toxic effect of other specified gases, fumes and vapors, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T59.92XA,"Toxic effect of unspecified gases, fumes and vapors, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T59.92XS,"Toxic effect of unspecified gases, fumes and vapors, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T60.0X2A,"Toxic effect of organophosphate and carbamate insecticides, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T60.0X2S,"Toxic effect of organophosphate and carbamate insecticides, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T60.1X2A,"Toxic effect of halogenated insecticides, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T60.1X2S,"Toxic effect of halogenated insecticides, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T60.2X2A,"Toxic effect of other insecticides, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T60.2X2S,"Toxic effect of other insecticides, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T60.3X2A,"Toxic effect of herbicides and fungicides, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T60.3X2S,"Toxic effect of herbicides and fungicides, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T60.4X2A,"Toxic effect of rodenticides, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T60.4X2S,"Toxic effect of rodenticides, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T60.8X2A,"Toxic effect of other pesticides, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T60.8X2S,"Toxic effect of other pesticides, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T60.92XA,"Toxic effect of unspecified pesticide, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T60.92XS,"Toxic effect of unspecified pesticide, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T61.02XA,"Ciguatera fish poisoning, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T61.02XS,"Ciguatera fish poisoning, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T61.12XA,"Scombroid fish poisoning, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T61.12XS,"Scombroid fish poisoning, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T61.772A,"Other fish poisoning, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T61.772S,"Other fish poisoning, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T61.782A,"Other shellfish poisoning, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T61.782S,"Other shellfish poisoning, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T61.8X2A,"Toxic effect of other seafood, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T61.8X2S,"Toxic effect of other seafood, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T61.92XA,"Toxic effect of unspecified seafood, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T61.92XS,"Toxic effect of unspecified seafood, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T62.0X2A,"Toxic effect of ingested mushrooms, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T62.0X2S,"Toxic effect of ingested mushrooms, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T62.1X2A,"Toxic effect of ingested berries, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T62.1X2S,"Toxic effect of ingested berries, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T62.2X2A,"Toxic effect of other ingested (parts of) plant(s), intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T62.2X2S,"Toxic effect of other ingested (parts of) plant(s), intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T62.8X2A,"Toxic effect of other specified noxious substances eaten as food, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T62.8X2S,"Toxic effect of other specified noxious substances eaten as food, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T62.92XA,"Toxic effect of unspecified noxious substance eaten as food, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T62.92XS,"Toxic effect of unspecified noxious substance eaten as food, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.002A,"Toxic effect of unspecified snake venom, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.002S,"Toxic effect of unspecified snake venom, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.012A,"Toxic effect of rattlesnake venom, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.012S,"Toxic effect of rattlesnake venom, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.022A,"Toxic effect of coral snake venom, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.022S,"Toxic effect of coral snake venom, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.032A,"Toxic effect of taipan venom, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.032S,"Toxic effect of taipan venom, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.042A,"Toxic effect of cobra venom, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.042S,"Toxic effect of cobra venom, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.062A,"Toxic effect of venom of other North and South American snake, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.062S,"Toxic effect of venom of other North and South American snake, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.072A,"Toxic effect of venom of other Australian snake, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.072S,"Toxic effect of venom of other Australian snake, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.082A,"Toxic effect of venom of other African and Asian snake, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.082S,"Toxic effect of venom of other African and Asian snake, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.092A,"Toxic effect of venom of other snake, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.092S,"Toxic effect of venom of other snake, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.112A,"Toxic effect of venom of gila monster, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.112S,"Toxic effect of venom of gila monster, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.122A,"Toxic effect of venom of other venomous lizard, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.122S,"Toxic effect of venom of other venomous lizard, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.192A,"Toxic effect of venom of other reptiles, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.192S,"Toxic effect of venom of other reptiles, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.2X2A,"Toxic effect of venom of scorpion, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.2X2S,"Toxic effect of venom of scorpion, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.302A,"Toxic effect of unspecified spider venom, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.302S,"Toxic effect of unspecified spider venom, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.312A,"Toxic effect of venom of black widow spider, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.312S,"Toxic effect of venom of black widow spider, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.322A,"Toxic effect of venom of tarantula, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.322S,"Toxic effect of venom of tarantula, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.332A,"Toxic effect of venom of brown recluse spider, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.332S,"Toxic effect of venom of brown recluse spider, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.392A,"Toxic effect of venom of other spider, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.392S,"Toxic effect of venom of other spider, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.412A,"Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.412S,"Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.422A,"Toxic effect of venom of ants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.422S,"Toxic effect of venom of ants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.432A,"Toxic effect of venom of caterpillars, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.432S,"Toxic effect of venom of caterpillars, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.442A,"Toxic effect of venom of bees, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.442S,"Toxic effect of venom of bees, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.452A,"Toxic effect of venom of hornets, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.452S,"Toxic effect of venom of hornets, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.462A,"Toxic effect of venom of wasps, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.462S,"Toxic effect of venom of wasps, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.482A,"Toxic effect of venom of other arthropod, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.482S,"Toxic effect of venom of other arthropod, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.512A,"Toxic effect of contact with stingray, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.512S,"Toxic effect of contact with stingray, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.592A,"Toxic effect of contact with other venomous fish, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.592S,"Toxic effect of contact with other venomous fish, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.612A,"Toxic effect of contact with Portugese Man-o-war, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.612S,"Toxic effect of contact with Portugese Man-o-war, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.622A,"Toxic effect of contact with other jellyfish, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.622S,"Toxic effect of contact with other jellyfish, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.632A,"Toxic effect of contact with sea anemone, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.632S,"Toxic effect of contact with sea anemone, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.692A,"Toxic effect of contact with other venomous marine animals, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.692S,"Toxic effect of contact with other venomous marine animals, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.712A,"Toxic effect of contact with venomous marine plant, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.712S,"Toxic effect of contact with venomous marine plant, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.792A,"Toxic effect of contact with other venomous plant, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.792S,"Toxic effect of contact with other venomous plant, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.812A,"Toxic effect of contact with venomous frog, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.812S,"Toxic effect of contact with venomous frog, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.822A,"Toxic effect of contact with venomous toad, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.822S,"Toxic effect of contact with venomous toad, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.832A,"Toxic effect of contact with other venomous amphibian, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.832S,"Toxic effect of contact with other venomous amphibian, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.892A,"Toxic effect of contact with other venomous animals, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.892S,"Toxic effect of contact with other venomous animals, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T63.92XA,"Toxic effect of contact with unspecified venomous animal, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T63.92XS,"Toxic effect of contact with unspecified venomous animal, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T64.02XA,"Toxic effect of aflatoxin, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T64.02XS,"Toxic effect of aflatoxin, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T64.82XA,"Toxic effect of other mycotoxin food contaminants, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T64.82XS,"Toxic effect of other mycotoxin food contaminants, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.0X2A,"Toxic effect of cyanides, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.0X2S,"Toxic effect of cyanides, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.1X2A,"Toxic effect of strychnine and its salts, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.1X2S,"Toxic effect of strychnine and its salts, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.212A,"Toxic effect of chewing tobacco, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.212S,"Toxic effect of chewing tobacco, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.222A,"Toxic effect of tobacco cigarettes, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.222S,"Toxic effect of tobacco cigarettes, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.292A,"Toxic effect of other tobacco and nicotine, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.292S,"Toxic effect of other tobacco and nicotine, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.3X2A,"Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.3X2S,"Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.4X2A,"Toxic effect of carbon disulfide, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.4X2S,"Toxic effect of carbon disulfide, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.5X2A,"Toxic effect of nitroglycerin and other nitric acids and esters, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.5X2S,"Toxic effect of nitroglycerin and other nitric acids and esters, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.6X2A,"Toxic effect of paints and dyes, not elsewhere classified, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.6X2S,"Toxic effect of paints and dyes, not elsewhere classified, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.812A,"Toxic effect of latex, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.812S,"Toxic effect of latex, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.822A,"Toxic effect of harmful algae and algae toxins, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.822S,"Toxic effect of harmful algae and algae toxins, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.832A,"Toxic effect of fiberglass, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.832S,"Toxic effect of fiberglass, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.892A,"Toxic effect of other specified substances, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.892S,"Toxic effect of other specified substances, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T65.92XA,"Toxic effect of unspecified substance, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T65.92XS,"Toxic effect of unspecified substance, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T71.112A,"Asphyxiation due to smothering under pillow, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T71.112S,"Asphyxiation due to smothering under pillow, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T71.122A,"Asphyxiation due to plastic bag, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T71.122S,"Asphyxiation due to plastic bag, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T71.132A,"Asphyxiation due to being trapped in bed linens, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T71.132S,"Asphyxiation due to being trapped in bed linens, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T71.152A,"Asphyxiation due to smothering in furniture, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T71.152S,"Asphyxiation due to smothering in furniture, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T71.162A,"Asphyxiation due to hanging, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T71.162S,"Asphyxiation due to hanging, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T71.192A,"Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm, initial encounter"
